symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
SEE,2009-12-31,2009,19.84,1.5896003E8,3153766995.2,694500000.0,1661000000.0,4120266995.2
M,2013-02-02,2013,41.54,4.055E8,16844470000.0,1836000000.0,6930000000.0,21938470000.0
M,2012-01-28,2012,37.37,4.245E8,15863564999.999998,2827000000.0,7758000000.0,20794565000.0
M,2011-01-29,2011,23.9,4.233E8,10116870000.0,1464000000.0,7425000000.0,16077870000.0
M,2010-01-30,2010,19.78,0.0,0.0,1686000000.0,8698000000.0,7012000000.0
TSLA,2013-12-31,2013,182.84,1.19421414E8,21835011335.760002,845889000.0,7722000.0,20996844335.760002
TSLA,2012-12-31,2012,37.52,1.07349188E8,4027741533.76,201890000.0,452336000.0,4278187533.76
TSLA,2011-12-31,2011,29.57,1.00388815E8,2968497259.55,255266000.0,276251000.0,2989482259.55
TSLA,2010-12-31,2010,24.01,9.3270701E7,2239429531.01,178022000.0,72603000.0,2134010531.0100002
TPR,2013-06-29,2013,57.85,2.82494E8,16342277900.0,1062785000.0,985000.0,15280477900.0
TPR,2012-06-30,2012,60.58,2.88284E8,17464244720.0,917215000.0,23360000.0,16570389720.0
TPR,2011-07-02,2011,65.29,2.94877E8,19252519330.0,699782000.0,24155000.0,18576892330.0
TPR,2010-07-03,2010,38.43,3.11413E8,11967601590.0,596470000.0,24901000.0,11396032590.0
TPR,2009-06-27,2009,28.43,3.23714E8,9203189020.0,800362000.0,33076000.0,8435903020.0
LKQ,2013-12-31,2013,27.32,2.99574E8,8184361680.0,150488000.0,1305781000.0,9339654680.0
LKQ,2012-12-31,2012,22.58,2.9581E8,6679389799.999999,59770000.0,1118478000.0,7738097799.999999
LKQ,2011-12-31,2011,16.32,1.46126E8,2384776320.0,48247000.0,956076000.0,3292605320.0
LKQ,2010-12-31,2010,11.85,0.0,0.0,0.0,0.0,0.0
LKQ,2009-12-31,2009,9.38,2.82804508E8,2652706285.0400004,108906000.0,603045000.0,3146845285.0400004
FCAU,2013-12-31,2013,5.07,2.3299329738652E9,11812760177.496565,26760660247.5928,0.0,-14947900070.096235
FCAU,2012-12-31,2012,2.9,0.0,0.0,23306068601.5831,0.0,-23306068601.5831
FCAU,2011-12-31,2011,3.37,0.0,0.0,22702072538.8601,0.0,-22702072538.8601
LULU,2013-02-03,2013,69.13,1.44E8,9954720000.0,590179000.0,0.0,9364541000.0
LULU,2012-01-29,2012,67.74,0.0,0.0,0.0,0.0,0.0
LULU,2011-01-30,2011,36.9,0.0,0.0,0.0,0.0,0.0
LULU,2010-01-31,2010,15.52,1.01817766E8,1580211728.32,159573000.0,0.0,1420638728.32
UAA,2013-12-31,2013,26.19,1.05348E8,2759064120.0,347489000.0,52923000.0,2464498120.0
UAA,2012-12-31,2012,12.03,1.04343E8,1255246290.0,341841000.0,61889000.0,975294290.0
UAA,2011-12-31,2011,9.63,5.157E7,496619100.00000006,175384000.0,77724000.0,398959100.00000006
